السنة,الربع,المنطقة,النشاط الاقتصادي - المستوى الثاني,حجم المنشأة,عدد المنشآت المملوكة للمرأة,,,,,,,,,,
2025,2,منطقة القصيم,أبحاث الإعلان والسوق,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة المدينة المنورة,أبحاث الإعلان والسوق,متناهية الصغر,3,,,,,,,,,,
2025,2,منطقة عسير,أبحاث الإعلان والسوق,متناهية الصغر,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أبحاث الإعلان والسوق,متناهية الصغر,38,,,,,,,,,,
2025,2,منطقة الرياض,أبحاث الإعلان والسوق,متوسطة,2,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أبحاث الإعلان والسوق,متوسطة,4,,,,,,,,,,
2025,2,المنطقة الشرقية,أبحاث الإعلان والسوق,متوسطة,1,,,,,,,,,,
2025,2,منطقة الرياض,أبحاث الإعلان والسوق,متوسطة,1,,,,,,,,,,
2025,2,منطقة القصيم,أبحاث الإعلان والسوق,متوسطة,1,,,,,,,,,,
2025,2,منطقة مكة المكرمة,أبحاث الإعلان والسوق,متوسطة,3,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,19,,,,,,,,,,
2025,2,منطقة الباحة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,1,,,,,,,,,,
2025,2,منطقة الجوف,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,1,,,,,,,,,,
2025,2,منطقة الحدود الشمالية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,3,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,129,,,,,,,,,,
2025,2,منطقة القصيم,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,56,,,,,,,,,,
2025,2,منطقة المدينة المنورة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,4,,,,,,,,,,
2025,2,منطقة تبوك,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,4,,,,,,,,,,
2025,2,منطقة جازان,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,6,,,,,,,,,,
2025,2,منطقة حائل,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,2,,,,,,,,,,
2025,2,منطقة عسير,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,10,,,,,,,,,,
2025,2,منطقة مكة المكرمة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,31,,,,,,,,,,
2025,2,منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,9,,,,,,,,,,
2025,2,المنطقة الشرقية,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,1,,,,,,,,,,
2025,2,منطقة الرياض,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,13,,,,,,,,,,
2025,2,منطقة المدينة المنورة,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,صغيرة,1,,,,,,,,,,
